datetime,open,high,low,close,volume
2025-02-24 05:00:00+00:00,189.162,189.22,189.086,189.174,2957
2025-02-24 05:15:00+00:00,189.173,189.332,189.146,189.308,3131
2025-02-24 05:30:00+00:00,189.308,189.406,189.288,189.379,2894
2025-02-24 05:45:00+00:00,189.384,189.448,189.33,189.363,2748
2025-02-24 06:00:00+00:00,189.364,189.438,189.23,189.368,3221
2025-02-24 06:15:00+00:00,189.368,189.41,189.298,189.3,2785
2025-02-24 06:30:00+00:00,189.298,189.328,189.214,189.217,3070
2025-02-24 06:45:00+00:00,189.218,189.337,189.218,189.306,3018
2025-02-24 07:00:00+00:00,189.306,189.391,189.2,189.242,4912
2025-02-24 07:15:00+00:00,189.24,189.292,189.186,189.196,4601
2025-02-24 07:30:00+00:00,189.198,189.261,188.794,188.797,5299
2025-02-24 07:45:00+00:00,188.799,189.002,188.736,188.98,5236
2025-02-24 08:00:00+00:00,188.982,189.072,188.812,188.862,5727
2025-02-24 08:15:00+00:00,188.862,188.894,188.68,188.708,6150
2025-02-24 08:30:00+00:00,188.711,188.757,188.472,188.66,5643
2025-02-24 08:45:00+00:00,188.66,189.075,188.631,188.999,4590
2025-02-24 09:00:00+00:00,188.998,189.212,188.924,189.176,4999
2025-02-24 09:15:00+00:00,189.172,189.269,189.074,189.168,5160
2025-02-24 09:30:00+00:00,189.167,189.193,189.002,189.042,4709
2025-02-24 09:45:00+00:00,189.041,189.105,188.812,189.024,4192
2025-02-24 10:00:00+00:00,189.014,189.032,188.882,189.016,3813
2025-02-24 10:15:00+00:00,189.016,189.117,188.999,189.077,3691
2025-02-24 10:30:00+00:00,189.078,189.13,188.962,189.046,4035
2025-02-24 10:45:00+00:00,189.048,189.197,189.002,189.178,4151
2025-02-24 11:00:00+00:00,189.177,189.358,189.14,189.277,4322
2025-02-24 11:15:00+00:00,189.28,189.32,189.171,189.21,3091
2025-02-24 11:30:00+00:00,189.21,189.301,189.097,189.301,3621
2025-02-24 11:45:00+00:00,189.302,189.348,189.23,189.262,3371
2025-02-24 12:00:00+00:00,189.26,189.274,189.096,189.18,3492
2025-02-24 12:15:00+00:00,189.18,189.35,189.167,189.266,3229
2025-02-24 12:30:00+00:00,189.268,189.34,189.224,189.235,3081
2025-02-24 12:45:00+00:00,189.236,189.316,189.147,189.275,3625
2025-02-24 13:00:00+00:00,189.274,189.373,189.252,189.315,4560
2025-02-24 13:15:00+00:00,189.32,189.334,189.112,189.29,4120
2025-02-24 13:30:00+00:00,189.292,189.416,189.249,189.38,4298
2025-02-24 13:45:00+00:00,189.382,189.524,189.356,189.378,4228
2025-02-24 14:00:00+00:00,189.384,189.479,189.248,189.34,3966
2025-02-24 14:15:00+00:00,189.331,189.336,189.104,189.117,3880
2025-02-24 14:30:00+00:00,189.116,189.235,188.579,188.632,6408
2025-02-24 14:45:00+00:00,188.632,188.72,188.36,188.423,5839
2025-02-24 15:00:00+00:00,188.428,188.696,188.276,188.676,6978
2025-02-24 15:15:00+00:00,188.669,188.737,188.499,188.55,5750
2025-02-24 15:30:00+00:00,188.554,188.601,188.328,188.366,5998
2025-02-24 15:45:00+00:00,188.366,188.512,188.228,188.419,6376
2025-02-24 16:00:00+00:00,188.42,188.874,188.418,188.766,5232
2025-02-24 16:15:00+00:00,188.765,189.179,188.719,189.07,4442
2025-02-24 16:30:00+00:00,189.069,189.207,189.016,189.194,4730
2025-02-24 16:45:00+00:00,189.195,189.208,189.028,189.049,3905
2025-02-24 17:00:00+00:00,189.048,189.147,189.026,189.071,4798
2025-02-24 17:15:00+00:00,189.07,189.228,189.064,189.144,3905
2025-02-24 17:30:00+00:00,189.145,189.251,189.11,189.246,3914
2025-02-24 17:45:00+00:00,189.247,189.302,189.056,189.077,4688
2025-02-24 18:00:00+00:00,189.074,189.104,188.984,188.995,3698
2025-02-24 18:15:00+00:00,188.996,189.092,188.963,188.973,3350
2025-02-24 18:30:00+00:00,188.975,189.068,188.954,189.066,3206
2025-02-24 18:45:00+00:00,189.068,189.159,189.055,189.137,3257
2025-02-24 19:00:00+00:00,189.138,189.266,189.132,189.196,2334
2025-02-24 19:15:00+00:00,189.198,189.205,189.044,189.145,2980
2025-02-24 19:30:00+00:00,189.149,189.319,189.116,189.134,4434
2025-02-24 19:45:00+00:00,189.136,189.207,189.036,189.082,4453
2025-02-24 20:00:00+00:00,189.084,189.091,188.968,189.088,3899
2025-02-24 20:15:00+00:00,189.089,189.193,189.014,189.147,4623
2025-02-24 20:30:00+00:00,189.146,189.206,188.998,189.005,4270
2025-02-24 20:45:00+00:00,189.006,189.106,188.892,188.994,4291
2025-02-24 21:00:00+00:00,188.99,189.086,188.947,189.062,1967
2025-02-24 21:15:00+00:00,189.064,189.106,188.994,189.017,1140
2025-02-24 21:30:00+00:00,189.02,189.05,189.007,189.038,1201
2025-02-24 21:45:00+00:00,189.04,189.066,189.01,189.026,1120
2025-02-24 22:00:00+00:00,189.023,189.138,188.988,189.034,131
2025-02-24 22:15:00+00:00,189.035,189.096,189.01,189.086,160
2025-02-24 22:30:00+00:00,189.064,189.092,189.012,189.041,276
2025-02-24 22:45:00+00:00,189.04,189.122,188.976,189.102,762
2025-02-24 23:00:00+00:00,189.112,189.164,189.0,189.14,825
2025-02-24 23:15:00+00:00,189.143,189.146,189.066,189.14,1324
2025-02-24 23:30:00+00:00,189.142,189.149,189.016,189.112,1330
2025-02-24 23:45:00+00:00,189.113,189.152,189.049,189.15,1940
2025-02-25 00:00:00+00:00,189.15,189.379,189.149,189.353,2561
2025-02-25 00:15:00+00:00,189.353,189.414,189.316,189.362,2247
2025-02-25 00:30:00+00:00,189.364,189.454,189.355,189.42,2272
2025-02-25 00:45:00+00:00,189.422,189.514,189.374,189.474,2776
2025-02-25 01:00:00+00:00,189.476,189.609,189.407,189.575,2835
2025-02-25 01:15:00+00:00,189.576,189.67,189.454,189.514,2673
2025-02-25 01:30:00+00:00,189.514,189.572,189.387,189.421,3267
2025-02-25 01:45:00+00:00,189.421,189.533,189.392,189.415,2674
2025-02-25 02:00:00+00:00,189.411,189.472,189.366,189.41,2423
2025-02-25 02:15:00+00:00,189.41,189.416,189.322,189.394,2801
2025-02-25 02:30:00+00:00,189.398,189.45,189.356,189.406,2484
2025-02-25 02:45:00+00:00,189.407,189.407,189.286,189.306,1950
2025-02-25 03:00:00+00:00,189.308,189.348,189.272,189.348,1853
2025-02-25 03:15:00+00:00,189.348,189.366,189.282,189.31,1647
2025-02-25 03:30:00+00:00,189.312,189.312,189.062,189.064,2689
2025-02-25 03:45:00+00:00,189.064,189.139,189.016,189.072,1547
2025-02-25 04:00:00+00:00,189.071,189.132,188.942,188.956,2391
2025-02-25 04:15:00+00:00,188.956,189.038,188.92,188.948,1630
2025-02-25 04:30:00+00:00,188.949,188.983,188.872,188.906,2440
2025-02-25 04:45:00+00:00,188.907,188.976,188.842,188.954,1909
2025-02-25 05:00:00+00:00,188.955,189.022,188.948,188.986,1318
2025-02-25 05:15:00+00:00,188.986,189.09,188.916,189.084,1730
2025-02-25 05:30:00+00:00,189.077,189.15,189.034,189.106,1693
2025-02-25 05:45:00+00:00,189.108,189.253,189.042,189.2,1948
2025-02-25 06:00:00+00:00,189.198,189.238,189.07,189.142,1981
2025-02-25 06:15:00+00:00,189.142,189.3,189.118,189.279,2303
2025-02-25 06:30:00+00:00,189.278,189.282,189.123,189.212,2436
2025-02-25 06:45:00+00:00,189.212,189.258,189.127,189.176,2970
2025-02-25 07:00:00+00:00,189.176,189.21,188.866,188.89,4494
2025-02-25 07:15:00+00:00,188.89,188.988,188.694,188.723,4784
2025-02-25 07:30:00+00:00,188.726,188.762,188.474,188.608,5329
2025-02-25 07:45:00+00:00,188.608,188.63,188.25,188.289,5564
2025-02-25 08:00:00+00:00,188.292,188.77,188.171,188.726,6724
2025-02-25 08:15:00+00:00,188.726,188.726,188.559,188.578,5338
2025-02-25 08:30:00+00:00,188.58,188.706,188.418,188.706,5059
2025-02-25 08:45:00+00:00,188.707,188.86,188.579,188.618,4539
2025-02-25 09:00:00+00:00,188.616,188.83,188.576,188.75,5218
2025-02-25 09:15:00+00:00,188.751,189.046,188.731,188.988,4866
