equity,drawdown,position
9997.863140000001,4.498058881010715e-05,1
9997.855370000001,4.575771992224489e-05,1
9997.847710000002,4.652384917814054e-05,1
9997.839370000002,4.735798990855725e-05,1
9997.83133,4.8162125576760176e-05,1
9997.82077,4.921830376781367e-05,1
9997.80985,5.031048803356009e-05,1
9997.79871,5.142467601160876e-05,1
9997.78687,5.260887580142897e-05,1
9997.77551,5.374506749177988e-05,1
9997.76361,5.4935268294079236e-05,1
9997.75039,5.625749137037398e-05,1
9997.738309999999,5.746569521011077e-05,1
9997.72654,5.864289381873564e-05,1
9997.71448,5.984909732085809e-05,1
9997.702650000001,6.1032296941962095e-05,1
9997.691710000001,6.212648154514093e-05,1
9997.680810000002,6.321666547327302e-05,1
9997.669000000002,6.439786475694463e-05,1
9997.657140000001,6.558406488437916e-05,1
9997.64542,6.675626264942301e-05,1
9997.63414,6.788445298986238e-05,1
9997.62216,6.908265514207328e-05,1
9997.611,7.019884345755436e-05,1
9997.59956,7.134303649781682e-05,1
9997.58797,7.250223206918618e-05,1
9997.57687,7.361241937218811e-05,1
9997.565610000001,7.473860937501314e-05,1
9997.554440000002,7.585579785921042e-05,1
9997.543760000002,7.692397807504027e-05,1
9997.532460000002,7.805416875291203e-05,1
9997.521670000002,7.913335082498396e-05,1
9997.510750000001,8.022553509073039e-05,1
9997.499570000002,8.134372374364387e-05,1
9997.488380000003,8.246291256527355e-05,1
9997.477210000003,8.358010104947083e-05,1
9997.465990000002,8.470229037743105e-05,1
9997.455010000003,8.580047565547468e-05,1
9997.444530000002,8.684865249661663e-05,1
9997.434180000002,8.788382714408407e-05,1
9997.423700000001,8.8932003985226e-05,1
9997.413120000001,8.99901825137119e-05,1
9997.40278,9.102435699246314e-05,1
9997.39225,9.207753467718609e-05,1
9997.38181,9.31217108432813e-05,1
9997.370830000002,1.098287552459523e-06,1
